id,WELL,DEPTH,SP,GR,AC,label
250,2,1251.13,60.73,141.67,366.03,0
251,2,1251.25,60.68,151.81,364.92,2
252,2,1251.38,60.66,157.11,369.02,2
253,2,1251.5,60.6,167.14,380.26,2
254,2,1251.63,60.53,176.12,393.41,2
255,2,1251.75,60.5,179.06,398.61,2
256,2,1251.88,60.45,179.37,401.58,2
257,2,1252.0,60.41,173.49,395.79,2
258,2,1252.13,60.4,169.81,389.17,2
259,2,1252.25,60.41,163.07,377.78,2
260,2,1252.38,60.42,159.87,380.03,2
261,2,1252.5,60.47,154.26,396.92,2
262,2,1252.63,60.54,152.24,408.06,2
263,2,1252.75,60.58,152.53,410.79,2
264,2,1252.88,60.67,154.23,413.4,2
265,2,1253.0,60.75,156.56,404.35,2
266,2,1253.13,60.79,157.95,398.83,2
267,2,1253.25,60.85,161.95,398.32,2
268,2,1253.38,60.89,166.97,404.04,2
269,2,1253.5,60.9,169.25,405.62,2
270,2,1253.63,60.89,172.01,408.55,2
271,2,1253.75,60.88,172.06,409.91,2
272,2,1253.88,60.84,169.87,410.56,2
273,2,1254.0,60.78,166.37,407.83,2
274,2,1254.13,60.75,165.18,406.94,2
275,2,1254.25,60.67,166.06,406.57,2
276,2,1254.38,60.58,170.34,400.55,2
277,2,1254.5,60.53,172.09,397.61,2
278,2,1254.63,60.45,171.29,396.59,2
279,2,1254.75,60.36,164.78,391.98,2
280,2,1254.88,60.31,160.99,388.76,2
281,2,1255.0,60.23,156.68,388.57,2
282,2,1255.13,60.14,158.76,390.34,2
283,2,1255.25,60.1,160.61,389.88,2
284,2,1255.38,60.02,161.2,392.99,2
285,2,1255.5,59.98,159.61,397.83,2
286,2,1255.63,59.92,155.86,406.66,2
287,2,1255.75,59.87,155.07,403.1,2
288,2,1255.88,59.86,155.88,397.95,2
289,2,1256.0,59.83,159.01,387.95,2
290,2,1256.13,59.81,163.72,373.72,2
291,2,1256.25,59.81,166.45,366.84,2
292,2,1256.38,59.79,171.69,367.4,2
293,2,1256.5,59.77,173.06,373.89,2
294,2,1256.63,59.76,171.01,371.22,2
295,2,1256.75,59.72,163.5,362.49,2
296,2,1256.88,59.7,159.99,361.04,2
297,2,1257.0,59.64,156.67,360.03,2
298,2,1257.13,59.56,156.56,351.99,2
299,2,1257.25,59.51,156.37,345.92,2
300,2,1257.38,59.4,154.61,334.88,2
301,2,1257.5,59.27,151.38,317.14,2
302,2,1257.63,59.19,149.61,304.87,0
303,2,1257.75,59.02,146.67,286.44,0
304,2,1257.88,58.82,143.56,281.89,0
305,2,1258.0,58.71,141.46,283.11,0
306,2,1258.13,58.49,137.75,288.08,0
307,2,1258.25,58.26,137.33,298.89,0
308,2,1258.38,58.15,138.17,307.84,0
309,2,1258.5,57.95,140.28,329.4,0
310,2,1258.63,57.87,141.26,342.56,0
311,2,1258.75,57.74,142.51,367.53,0
312,2,1258.88,57.66,141.26,366.8,0
313,2,1259.0,57.64,139.44,358.66,0
314,2,1259.13,57.65,135.51,343.9,0
315,2,1259.25,57.72,135.04,328.13,0
316,2,1259.38,57.77,136.2,322.46,0
317,2,1259.5,57.91,138.05,328.71,0
318,2,1259.63,58.07,137.39,346.81,0
319,2,1259.75,58.16,137.2,350.43,0
320,2,1259.88,58.35,139.0,351.04,0
321,2,1260.0,58.44,140.46,354.69,0
322,2,1260.13,58.62,141.07,362.19,0
323,2,1260.25,58.79,136.91,357.3,0
324,2,1260.38,58.86,134.42,354.72,0
325,2,1260.5,59.0,132.24,348.51,0
326,2,1260.63,59.11,135.64,344.49,0
327,2,1260.75,59.16,138.7,348.84,0
328,2,1260.88,59.26,143.84,359.61,0
329,2,1261.0,59.34,146.95,358.81,2
330,2,1261.13,59.37,148.78,359.02,2
331,2,1261.25,59.42,153.67,362.24,2
332,2,1261.38,59.46,156.41,354.39,2
333,2,1261.5,59.47,155.32,347.81,2
334,2,1261.63,59.48,149.97,344.02,2
335,2,1261.75,59.48,147.61,346.03,2
336,2,1261.88,59.47,145.82,345.52,2
337,2,1262.0,59.44,147.04,346.03,2
338,2,1262.13,59.43,147.88,350.55,2
339,2,1262.25,59.41,148.92,361.25,2
340,2,1262.38,59.38,148.35,368.4,2
341,2,1262.5,59.36,147.39,372.11,2
342,2,1262.63,59.32,144.74,380.79,2
343,2,1262.75,59.28,141.8,382.68,2
344,2,1262.88,59.25,140.28,379.68,2
345,2,1263.0,59.19,136.99,370.71,0
346,2,1263.13,59.17,134.88,363.34,0
347,2,1263.25,59.12,130.31,344.24,0
348,2,1263.38,59.1,127.4,336.36,0
349,2,1263.5,59.11,127.31,333.67,0
350,2,1263.63,59.15,129.0,321.42,0
351,2,1263.75,59.24,129.99,324.59,0
352,2,1263.88,59.3,129.68,332.11,0
353,2,1264.0,59.44,127.84,334.26,0
354,2,1264.13,59.61,127.06,321.1,0
355,2,1264.25,59.69,128.64,314.54,0
356,2,1264.38,59.86,136.0,297.42,0
357,2,1264.5,60.02,141.66,278.62,0
358,2,1264.63,60.08,141.0,275.2,0
359,2,1264.75,60.2,134.65,279.69,0
360,2,1264.88,60.24,131.66,283.84,0
361,2,1265.0,60.32,129.56,293.3,0
362,2,1265.13,60.37,130.06,304.95,0
363,2,1265.25,60.39,130.27,314.08,0
364,2,1265.38,60.42,130.89,336.77,0
365,2,1265.5,60.44,129.89,340.53,0
366,2,1265.63,60.45,127.81,333.27,0
367,2,1265.75,60.46,121.65,315.22,0
368,2,1265.88,60.45,116.57,294.43,0
369,2,1266.0,60.43,115.2,283.96,0
370,2,1266.13,60.38,114.51,273.39,0
371,2,1266.25,60.31,116.03,276.31,0
372,2,1266.38,60.26,117.71,282.4,0
373,2,1266.5,60.15,122.18,302.68,0
374,2,1266.63,60.08,124.49,312.55,0
375,2,1266.75,59.95,128.43,326.99,0
376,2,1266.88,59.81,131.9,344.12,0
377,2,1267.0,59.74,133.55,352.75,0
378,2,1267.13,59.61,135.96,360.85,0
379,2,1267.25,59.48,136.54,361.26,0
380,2,1267.38,59.43,136.71,363.09,0
381,2,1267.5,59.33,138.17,371.1,0
382,2,1267.63,59.25,140.05,380.66,0
383,2,1267.75,59.23,139.92,386.15,0
384,2,1267.88,59.2,137.18,392.19,0
385,2,1268.0,59.2,135.7,387.0,0
386,2,1268.13,59.24,135.75,359.02,0
387,2,1268.25,59.3,141.13,326.41,0
388,2,1268.38,59.35,145.06,314.69,0
389,2,1268.5,59.45,153.48,310.82,2
390,2,1268.63,59.55,161.65,333.77,2
391,2,1268.75,59.6,165.08,347.7,2
392,2,1268.88,59.67,169.06,364.58,2
393,2,1269.0,59.71,168.3,367.7,2
394,2,1269.13,59.72,166.85,366.35,2
395,2,1269.25,59.71,164.81,364.56,2
396,2,1269.38,59.68,165.27,372.88,2
397,2,1269.5,59.66,165.69,378.75,2
398,2,1269.63,59.62,164.66,386.64,2
399,2,1269.75,59.59,163.27,389.35,2
400,2,1269.88,59.56,161.54,391.98,2
401,2,1270.0,59.55,163.82,386.84,2
402,2,1270.13,59.55,165.71,383.63,2
403,2,1270.25,59.57,167.28,381.72,2
404,2,1270.38,59.62,164.85,384.12,2
405,2,1270.5,59.65,162.73,386.28,2
406,2,1270.63,59.71,158.21,392.22,2
407,2,1270.75,59.78,155.19,395.47,2
408,2,1270.88,59.8,154.63,395.57,2
409,2,1271.0,59.84,154.14,391.65,2
410,2,1271.13,59.84,153.1,385.6,2
411,2,1271.25,59.84,148.46,369.66,2
412,2,1271.38,59.8,144.03,363.53,2
413,2,1271.5,59.77,143.03,362.14,2
414,2,1271.63,59.71,143.25,356.02,2
415,2,1271.75,59.64,143.65,355.94,2
416,2,1271.88,59.61,142.97,357.35,2
417,2,1272.0,59.55,140.51,351.17,2
418,2,1272.13,59.5,139.59,342.48,2
419,2,1272.25,59.49,140.21,342.49,2
420,2,1272.38,59.47,142.17,347.54,2
421,2,1272.5,59.47,143.78,362.27,2
422,2,1272.63,59.47,145.04,375.34,2
423,2,1272.75,59.48,150.2,399.7,2
424,2,1272.88,59.48,153.59,405.91,2
425,2,1273.0,59.49,157.04,408.66,2
426,2,1273.13,59.49,152.23,394.62,2
427,2,1273.25,59.49,148.47,380.02,2
428,2,1273.38,59.47,145.4,354.22,2
429,2,1273.5,59.45,149.48,340.99,2
430,2,1273.63,59.43,151.84,333.73,2
431,2,1273.75,59.39,154.24,322.96,2
432,2,1273.88,59.34,155.65,324.25,2
433,2,1274.0,59.31,157.54,324.27,2
434,2,1274.13,59.25,165.7,317.82,2
435,2,1274.25,59.22,171.54,313.41,2
436,2,1274.38,59.16,182.28,306.78,2
437,2,1274.5,59.12,184.26,308.15,2
438,2,1274.63,59.11,181.21,313.05,2
439,2,1274.75,59.08,170.51,326.95,2
440,2,1274.88,59.05,158.63,329.87,2
441,2,1275.0,59.04,153.39,323.52,2
442,2,1275.13,59.0,145.82,301.11,0
443,2,1275.25,58.95,143.7,278.21,0
444,2,1275.38,58.91,144.91,271.99,0
445,2,1275.5,58.84,150.29,279.59,0
446,2,1275.63,58.74,154.29,312.38,0
447,2,1275.75,58.69,154.22,334.05,0
448,2,1275.88,58.57,150.92,373.52,0
449,2,1276.0,58.51,148.68,385.6,0
450,2,1276.13,58.37,144.03,391.32,0
451,2,1276.25,58.2,137.95,375.38,0
452,2,1276.38,58.11,134.28,359.5,0
453,2,1276.5,57.91,127.92,322.5,0
454,2,1276.63,57.69,124.01,298.62,0
455,2,1276.75,57.58,122.27,293.44,0
456,2,1276.88,57.34,117.44,290.49,0
457,2,1277.0,57.11,110.54,291.65,0
458,2,1277.13,57.0,107.26,292.27,0
459,2,1277.25,56.79,103.22,291.51,0
460,2,1277.38,56.6,102.32,289.52,0
461,2,1277.5,56.52,102.53,287.89,0
462,2,1277.63,56.39,104.75,281.99,0
463,2,1277.75,56.35,107.35,280.69,0
464,2,1277.88,56.29,115.93,291.43,0
465,2,1278.0,56.28,126.86,314.51,0
466,2,1278.13,56.3,131.81,327.28,0
467,2,1278.25,56.37,138.75,353.5,0
468,2,1278.38,56.49,141.76,365.71,0
469,2,1278.5,56.57,142.2,359.96,0
470,2,1278.63,56.75,142.01,338.26,0
471,2,1278.75,56.96,141.17,333.33,0
472,2,1278.88,57.08,140.75,336.98,0
473,2,1279.0,57.35,140.27,346.13,0
474,2,1279.13,57.5,139.87,352.46,0
475,2,1279.25,57.82,138.53,365.16,0
476,2,1279.38,58.17,138.46,365.87,0
477,2,1279.5,58.37,140.11,362.53,0
478,2,1279.63,58.78,149.21,357.51,2
479,2,1279.75,59.23,169.62,358.81,2
480,2,1279.88,59.46,183.46,358.72,2
481,2,1280.0,59.95,207.47,346.81,2
482,2,1280.13,60.43,207.52,325.29,2
483,2,1280.25,60.67,196.27,314.87,2
484,2,1280.38,61.11,162.66,294.95,2
485,2,1280.5,61.5,135.25,280.07,2
486,2,1280.63,61.67,127.9,276.51,0
487,2,1280.75,61.96,123.88,274.89,0
488,2,1280.88,62.08,124.58,275.97,0
489,2,1281.0,62.28,126.08,280.72,0
490,2,1281.13,62.43,125.99,285.6,0
491,2,1281.25,62.49,125.51,287.96,0
492,2,1281.38,62.58,124.04,293.06,0
493,2,1281.5,62.63,121.48,292.91,0
494,2,1281.63,62.63,119.94,290.59,0
495,2,1281.75,62.61,117.62,285.17,0
496,2,1281.88,62.52,117.29,279.74,0
497,2,1282.0,62.45,118.16,277.85,0
498,2,1282.13,62.25,121.74,278.02,0
499,2,1282.25,62.12,123.76,280.29,0
500,2,1282.38,61.81,126.81,293.53,0
501,2,1282.5,61.41,129.35,318.9,0
502,2,1282.63,61.19,130.86,329.49,0
503,2,1282.75,60.69,133.66,334.98,0
504,2,1282.88,60.12,134.44,326.15,0
505,2,1283.0,59.81,134.25,318.04,0
506,2,1283.13,59.14,134.02,295.61,0
507,2,1283.25,58.39,133.94,284.55,0
508,2,1283.38,57.98,133.6,288.17,0
509,2,1283.5,57.1,132.44,301.25,0
510,2,1283.63,56.12,129.56,305.56,0
511,2,1283.75,55.59,126.41,304.43,0
512,2,1283.88,54.47,115.97,299.53,0
513,2,1284.0,53.87,109.58,295.28,0
514,2,1284.13,52.59,97.46,284.98,0
515,2,1284.25,51.23,88.89,284.15,0
516,2,1284.38,50.52,86.88,288.15,0
517,2,1284.5,49.05,89.5,296.97,0
518,2,1284.63,47.56,98.76,303.64,0
519,2,1284.75,46.82,103.07,306.02,0
520,2,1284.88,45.36,106.12,306.77,0
521,2,1285.0,43.97,103.23,303.11,0
522,2,1285.13,43.31,101.41,301.27,0
523,2,1285.25,42.11,97.78,301.68,0
524,2,1285.38,41.57,95.42,304.19,0
525,2,1285.5,40.64,88.94,309.89,0
526,2,1285.63,39.92,82.46,313.65,0
527,2,1285.75,39.64,80.17,314.87,0
528,2,1285.88,39.26,77.27,316.28,0
529,2,1286.0,39.1,74.62,320.72,0
530,2,1286.13,39.11,73.15,324.79,0
531,2,1286.25,39.29,71.28,333.73,0
532,2,1286.38,39.71,73.36,341.49,0
533,2,1286.5,40.0,76.32,344.19,0
534,2,1286.63,40.75,84.0,349.0,0
535,2,1286.75,41.71,89.99,351.76,0
536,2,1286.88,42.27,92.61,348.79,0
537,2,1287.0,43.5,100.69,338.55,0
538,2,1287.13,44.18,106.74,334.99,0
539,2,1287.25,45.6,120.04,332.04,0
540,2,1287.38,47.1,128.64,342.45,0
541,2,1287.5,47.85,130.09,351.17,2
542,2,1287.63,49.32,128.37,356.0,2
543,2,1287.75,50.71,124.06,345.22,2
544,2,1287.88,51.35,122.49,336.78,2
545,2,1288.0,52.53,121.88,312.7,2
546,2,1288.13,53.55,123.39,303.81,2
547,2,1288.25,54.0,124.58,310.19,2
548,2,1288.38,54.8,127.47,327.24,2
549,2,1288.5,55.49,130.18,337.04,2
550,2,1288.63,55.79,131.3,341.4,2
551,2,1288.75,56.34,133.51,350.34,2
552,2,1288.88,56.59,134.77,352.04,2
553,2,1289.0,57.05,137.21,349.93,2
554,2,1289.13,57.47,138.32,350.98,2
555,2,1289.25,57.67,138.41,350.78,2
556,2,1289.38,58.05,138.37,343.56,2
557,2,1289.5,58.39,138.94,338.59,2
558,2,1289.63,58.56,139.68,337.94,2
559,2,1289.75,58.86,141.6,334.72,2
560,2,1289.88,59.12,143.04,331.05,2
561,2,1290.0,59.24,143.71,331.65,2
562,2,1290.13,59.45,145.91,343.26,2
563,2,1290.25,59.54,147.73,351.51,2
564,2,1290.38,59.69,152.06,358.01,2
565,2,1290.5,59.82,154.27,353.01,2
566,2,1290.63,59.87,153.9,349.41,2
567,2,1290.75,59.95,151.81,336.95,2
568,2,1290.88,59.99,150.26,326.46,2
569,2,1291.0,59.99,149.38,326.63,2
570,2,1291.13,59.96,145.29,333.35,2
571,2,1291.25,59.86,137.16,345.07,2
572,2,1291.38,59.79,131.91,350.73,0
573,2,1291.5,59.61,120.58,348.99,0
574,2,1291.63,59.4,110.85,330.06,0
575,2,1291.75,59.3,107.95,318.75,0
576,2,1291.88,59.11,107.68,293.99,0
577,2,1292.0,59.04,109.76,283.03,0
578,2,1292.13,58.94,114.46,278.17,0
579,2,1292.25,58.95,114.41,291.81,0
580,2,1292.38,58.98,112.07,297.99,0
581,2,1292.5,59.13,106.11,304.09,0
582,2,1292.63,59.35,102.66,302.29,0
583,2,1292.75,59.48,102.43,298.27,0
584,2,1292.88,59.78,105.41,290.76,0
585,2,1293.0,60.09,113.35,292.51,0
586,2,1293.13,60.25,118.4,296.36,0
587,2,1293.25,60.53,125.95,305.5,0
588,2,1293.38,60.66,127.04,309.02,0
589,2,1293.5,60.87,125.33,311.22,2
590,2,1293.63,61.03,125.53,310.78,2
591,2,1293.75,61.08,127.83,312.15,2
592,2,1293.88,61.15,134.39,320.98,2
593,2,1294.0,61.18,138.89,336.89,2
594,2,1294.13,61.18,139.73,345.03,2
595,2,1294.25,61.17,139.22,356.16,2
596,2,1294.38,61.14,137.18,353.64,2
597,2,1294.5,61.12,135.93,346.98,2
598,2,1294.63,61.06,133.67,337.63,2
599,2,1294.75,60.99,132.48,342.94,2
600,2,1294.88,60.95,132.52,346.26,2
601,2,1295.0,60.85,133.44,356.71,2
602,2,1295.13,60.79,134.09,366.65,2
603,2,1295.25,60.67,135.66,378.31,2
604,2,1295.38,60.53,137.24,364.61,2
605,2,1295.5,60.46,137.42,355.21,2
606,2,1295.63,60.3,136.17,339.92,2
